application_id,customer_id,application_date,loan_amount,loan_purpose,employment_status,annual_income,debt_to_income_ratio,credit_score,application_status,default_flag
APP_0000106,CUST_013037,2023-11-18,63129,Home Improvement,Self-employed,77317.03,0.264,850,Approved,0
APP_0000107,CUST_020245,2024-01-24,34275,Car Purchase,Full-time,64465.87,0.622,850,Approved,0
APP_0000108,CUST_016278,2024-07-07,12834,Debt Consolidation,Student,10477.81,0.522,587,Declined,0
APP_0000109,CUST_004182,2023-12-18,32733,Home Purchase,Part-time,27658.18,0.715,669,Approved,0
APP_0000110,CUST_006801,2024-09-17,73435,Personal,Part-time,97760.95,0.52,850,Declined,0
APP_0000111,CUST_016233,2022-08-05,39715,Personal,Full-time,54998.58,0.431,691,Approved,0
APP_0000112,CUST_005264,2023-02-10,268426,Debt Consolidation,Full-time,88479.18,0.71,850,Declined,0
APP_0000113,CUST_006248,2023-12-26,1000,Car Purchase,Student,696.83,0.393,618,Declined,0
APP_0000114,CUST_011329,2024-07-29,248667,Debt Consolidation,Full-time,87312.37,0.818,845,Approved,1
APP_0000115,CUST_023558,2022-07-17,11528,Education,Student,4694.24,0.602,836,Approved,0
APP_0000116,CUST_024695,2023-08-05,7849,Personal,Student,11137.27,0.533,561,Declined,0
APP_0000117,CUST_021598,2024-12-11,5797,Home Improvement,Student,6107.59,0.358,606,Declined,0
APP_0000118,CUST_009467,2023-01-26,16311,Personal,Part-time,9600.0,0.44,618,Declined,0
APP_0000119,CUST_009481,2022-07-23,30306,Personal,Full-time,28673.02,0.402,683,Declined,0
APP_0000120,CUST_002079,2022-08-27,64774,Business,Full-time,33795.35,0.569,672,Declined,0
APP_0000121,CUST_014043,2022-05-26,225101,Car Purchase,Retired,92970.36,1.073,850,Declined,0
APP_0000122,CUST_016585,2024-02-19,30397,Home Purchase,Part-time,17283.57,0.492,740,Declined,0
APP_0000123,CUST_021140,2024-04-27,49279,Home Purchase,Full-time,37699.87,0.816,684,Declined,0
APP_0000124,CUST_016996,2023-01-03,238730,Personal,Retired,113226.27,0.659,850,Declined,0
APP_0000125,CUST_000211,2023-01-31,65238,Business,Part-time,63714.39,0.429,804,Approved,0
APP_0000126,CUST_016291,2024-09-03,39530,Business,Student,12880.63,0.963,807,Declined,0
APP_0000127,CUST_014168,2024-11-15,9770,Home Purchase,Student,6729.2,0.563,696,Declined,0
APP_0000128,CUST_018003,2023-05-15,181312,Business,Retired,91610.98,0.634,847,Declined,0
APP_0000129,CUST_005292,2024-12-24,29992,Debt Consolidation,Part-time,41628.31,0.515,665,Declined,0
APP_0000130,CUST_009081,2024-04-18,29074,Personal,Full-time,22297.49,0.45,665,Approved,0
APP_0000131,CUST_016622,2022-06-20,89612,Debt Consolidation,Full-time,66198.89,0.735,850,Declined,0
APP_0000132,CUST_012209,2024-07-06,42462,Personal,Part-time,21575.55,0.699,611,Declined,0
APP_0000133,CUST_019210,2022-10-08,42048,Debt Consolidation,Full-time,34213.58,0.703,657,Declined,0
APP_0000134,CUST_016126,2022-01-12,16853,Car Purchase,Part-time,19106.59,0.599,611,Declined,0
APP_0000135,CUST_000239,2023-04-15,76746,Business,Part-time,67145.53,0.542,850,Approved,0
APP_0000136,CUST_012132,2024-04-23,114072,Business,Full-time,52976.84,0.62,656,Declined,0
APP_0000137,CUST_015121,2024-01-21,54290,Car Purchase,Part-time,29193.13,0.476,636,Declined,0
APP_0000138,CUST_011397,2024-02-05,33699,Home Improvement,Part-time,14939.15,0.945,725,Declined,0
APP_0000139,CUST_008490,2022-03-06,39321,Car Purchase,Student,11666.59,0.93,801,Declined,0
APP_0000140,CUST_003006,2023-11-02,165453,Home Improvement,Full-time,45462.66,1.322,814,Approved,0
APP_0000141,CUST_014570,2024-02-05,117348,Home Purchase,Part-time,54951.17,1.001,828,Declined,0
APP_0000142,CUST_012799,2024-09-11,73823,Car Purchase,Full-time,40218.21,0.704,850,Declined,0
APP_0000143,CUST_016612,2023-08-17,98102,Debt Consolidation,Contract,52372.15,0.511,667,Approved,0
APP_0000144,CUST_013181,2024-06-11,64813,Education,Full-time,35549.78,0.592,651,Declined,0
APP_0000145,CUST_004534,2022-11-05,261244,Personal,Full-time,78529.51,0.94,850,Declined,0
APP_0000146,CUST_005900,2022-11-21,13928,Home Improvement,Student,14693.36,0.557,581,Declined,0
APP_0000147,CUST_017794,2022-12-31,9319,Home Improvement,Student,10824.89,0.301,792,Approved,0
APP_0000148,CUST_013367,2022-09-22,28412,Car Purchase,Full-time,27239.79,0.391,850,Approved,0
APP_0000149,CUST_019847,2024-07-03,12674,Personal,Student,13646.77,0.466,696,Declined,0
APP_0000150,CUST_009445,2024-07-04,348244,Personal,Retired,201801.5,0.507,850,Declined,0
APP_0000151,CUST_023332,2024-05-17,79402,Car Purchase,Full-time,35864.59,1.014,744,Declined,0
APP_0000152,CUST_006757,2023-10-30,73756,Car Purchase,Full-time,40123.19,0.663,576,Declined,0
APP_0000153,CUST_007573,2023-07-05,55183,Debt Consolidation,Part-time,23424.88,0.896,678,Declined,0
APP_0000154,CUST_016413,2022-05-29,161128,Education,Full-time,45562.1,1.275,814,Declined,0
APP_0000155,CUST_017898,2023-07-11,38702,Business,Part-time,27983.31,0.478,642,Approved,0
APP_0000156,CUST_010479,2024-08-17,113648,Education,Full-time,40676.7,0.886,682,Declined,0
APP_0000157,CUST_011458,2022-03-30,25797,Car Purchase,Full-time,26262.87,0.792,649,Declined,0
APP_0000158,CUST_019906,2022-09-15,56711,Education,Part-time,32246.84,0.667,647,Declined,0
APP_0000159,CUST_013001,2023-06-13,152270,Personal,Retired,109944.11,0.778,821,Declined,0
APP_0000160,CUST_006127,2023-12-27,587554,Car Purchase,Retired,196559.7,0.938,850,Approved,0
APP_0000161,CUST_012111,2024-04-23,138110,Home Purchase,Retired,98586.15,0.72,802,Declined,0
APP_0000162,CUST_019332,2024-10-30,58865,Home Improvement,Self-employed,52702.24,0.371,623,Declined,0
APP_0000163,CUST_009419,2023-03-27,58870,Car Purchase,Contract,54115.05,0.36,775,Approved,0
APP_0000164,CUST_011147,2023-11-05,65685,Home Purchase,Full-time,23764.39,1.143,663,Declined,0
APP_0000165,CUST_005902,2023-03-04,9320,Education,Part-time,9600.0,0.732,751,Declined,0
APP_0000166,CUST_016888,2022-03-31,32859,Home Purchase,Part-time,20234.49,0.45,645,Declined,0
APP_0000167,CUST_003929,2024-03-18,25213,Home Improvement,Full-time,16000.0,0.744,687,Declined,0
APP_0000168,CUST_005210,2023-06-03,101024,Business,Part-time,30809.12,1.056,814,Declined,0
APP_0000169,CUST_011954,2024-09-15,2662,Debt Consolidation,Student,1061.33,0.982,691,Declined,0
APP_0000170,CUST_002385,2024-02-22,61950,Home Purchase,Part-time,23382.63,1.097,669,Declined,0
APP_0000171,CUST_016618,2023-07-13,55804,Education,Part-time,24518.38,0.602,838,Approved,0
APP_0000172,CUST_000509,2024-03-30,73783,Debt Consolidation,Part-time,25764.41,1.171,850,Approved,0
APP_0000173,CUST_012416,2024-04-03,41621,Education,Part-time,30017.54,0.461,670,Declined,0
APP_0000174,CUST_023534,2022-10-26,63840,Car Purchase,Full-time,42306.51,0.528,802,Declined,0
APP_0000175,CUST_020216,2024-04-21,77490,Personal,Full-time,74854.44,0.628,844,Approved,0
APP_0000176,CUST_010366,2022-09-24,33539,Debt Consolidation,Part-time,14088.73,0.691,725,Approved,0
APP_0000177,CUST_000932,2023-05-14,19577,Home Improvement,Full-time,16000.0,0.503,604,Declined,0
APP_0000178,CUST_017469,2024-12-22,128020,Business,Part-time,51247.93,0.878,730,Declined,0
APP_0000179,CUST_015168,2023-11-11,182288,Home Improvement,Full-time,45864.46,0.925,785,Approved,0
APP_0000180,CUST_023678,2024-01-13,86815,Home Improvement,Contract,35993.2,1.052,676,Declined,0
APP_0000181,CUST_014292,2022-07-29,154683,Car Purchase,Retired,113362.37,0.484,850,Declined,0
APP_0000182,CUST_015582,2023-09-21,137318,Home Purchase,Self-employed,71552.28,0.525,850,Declined,0
APP_0000183,CUST_013895,2022-09-25,17772,Education,Unemployed,9327.51,0.539,643,Declined,0
APP_0000184,CUST_015298,2022-01-28,31027,Debt Consolidation,Part-time,27099.32,0.597,566,Declined,0
APP_0000185,CUST_021877,2024-02-29,95667,Debt Consolidation,Part-time,28358.31,0.875,824,Approved,0
APP_0000186,CUST_005653,2023-02-18,53323,Education,Part-time,32642.04,0.712,708,Declined,0
APP_0000187,CUST_019054,2023-09-11,221052,Home Improvement,Full-time,60157.62,1.116,850,Declined,0
APP_0000188,CUST_005665,2024-01-20,35963,Personal,Part-time,9600.0,1.294,770,Declined,0
APP_0000189,CUST_003883,2022-07-14,14806,Home Improvement,Full-time,16000.0,0.405,850,Approved,0
APP_0000190,CUST_008384,2024-10-19,87378,Home Purchase,Full-time,48967.79,0.729,732,Declined,0
APP_0000191,CUST_012484,2024-06-26,131960,Debt Consolidation,Part-time,37822.38,0.965,771,Declined,0
APP_0000192,CUST_016065,2022-09-19,38249,Home Improvement,Full-time,16000.0,1.048,677,Declined,0
APP_0000193,CUST_009237,2023-07-17,68197,Home Improvement,Part-time,28454.52,0.741,765,Declined,0
APP_0000194,CUST_013115,2023-04-20,104574,Education,Self-employed,63258.73,0.79,736,Declined,0
APP_0000195,CUST_007486,2022-12-03,39379,Personal,Part-time,46570.9,0.465,622,Declined,0
APP_0000196,CUST_015487,2024-09-17,13543,Home Improvement,Part-time,14840.88,0.453,589,Declined,0
APP_0000197,CUST_012360,2023-05-11,14376,Home Purchase,Student,5882.7,0.861,770,Declined,0
APP_0000198,CUST_000702,2023-08-03,193822,Education,Retired,73895.89,0.854,715,Declined,0
APP_0000199,CUST_013707,2022-05-05,233345,Business,Self-employed,74011.53,0.916,850,Approved,0
APP_0000200,CUST_022873,2024-06-28,10310,Car Purchase,Student,13740.02,0.503,817,Declined,0
APP_0000201,CUST_000992,2023-09-01,154248,Business,Full-time,41431.58,0.889,850,Approved,0
APP_0000202,CUST_022729,2022-09-20,342195,Business,Retired,90680.06,1.016,840,Approved,0
APP_0000203,CUST_017968,2024-05-12,57725,Education,Full-time,82127.17,0.271,733,Approved,0
APP_0000204,CUST_007903,2022-09-05,39591,Personal,Full-time,57962.99,0.427,713,Declined,0
APP_0000205,CUST_012491,2022-09-26,312076,Education,Retired,158675.17,0.817,725,Declined,0
APP_0000206,CUST_022465,2022-10-13,27884,Car Purchase,Student,13258.48,0.616,791,Declined,0
APP_0000207,CUST_008767,2023-06-29,24000,Car Purchase,Part-time,42634.88,0.32,788,Declined,0
APP_0000208,CUST_004394,2022-01-14,127117,Personal,Full-time,49674.04,0.635,736,Declined,0
APP_0000209,CUST_014605,2022-06-15,6471,Personal,Part-time,9600.0,0.659,718,Declined,0
APP_0000210,CUST_006012,2024-04-08,108118,Business,Full-time,87504.45,0.608,850,Approved,0
APP_0000211,CUST_011570,2022-10-12,153838,Personal,Retired,81468.64,0.822,802,Approved,0
APP_0000212,CUST_019108,2023-07-02,430826,Personal,Retired,109647.21,1.121,850,Declined,0
APP_0000213,CUST_003315,2024-10-28,40157,Car Purchase,Full-time,27898.14,0.563,621,Approved,0
APP_0000214,CUST_002067,2024-09-14,70340,Business,Full-time,25004.23,1.139,772,Approved,0
APP_0000215,CUST_019443,2023-09-23,68452,Education,Full-time,82930.45,0.345,630,Approved,0
APP_0000216,CUST_006830,2022-09-18,68948,Debt Consolidation,Part-time,23006.87,1.106,813,Approved,0
APP_0000217,CUST_013402,2023-04-11,10061,Education,Full-time,17317.37,0.512,636,Declined,0
APP_0000218,CUST_024909,2023-11-26,111112,Education,Retired,74628.72,0.881,850,Declined,0
APP_0000219,CUST_008333,2022-09-25,85313,Home Purchase,Part-time,23398.05,1.306,788,Declined,0
APP_0000220,CUST_000952,2024-05-08,229837,Car Purchase,Retired,100399.43,0.77,850,Declined,0
APP_0000221,CUST_013713,2023-10-01,127358,Car Purchase,Full-time,42417.51,0.741,808,Approved,0
APP_0000222,CUST_021421,2022-10-21,61023,Personal,Retired,84510.41,0.623,817,Declined,0
APP_0000223,CUST_015115,2024-07-03,25941,Home Purchase,Contract,28315.07,0.402,676,Declined,0
APP_0000224,CUST_011740,2023-01-27,119361,Education,Full-time,64161.0,0.842,550,Declined,0
APP_0000225,CUST_015900,2022-10-08,70117,Car Purchase,Retired,83180.9,0.595,800,Approved,1
APP_0000226,CUST_015482,2024-09-30,29758,Home Purchase,Part-time,15163.04,0.637,738,Declined,0
APP_0000227,CUST_018469,2022-01-20,125772,Debt Consolidation,Full-time,81529.21,0.449,706,Declined,0
APP_0000228,CUST_001791,2022-05-21,66071,Education,Full-time,20984.03,0.804,777,Declined,0
APP_0000229,CUST_013290,2022-09-21,43655,Education,Part-time,32803.57,0.502,742,Approved,0
APP_0000230,CUST_006841,2022-09-10,10306,Education,Student,12710.55,0.549,639,Declined,0
APP_0000231,CUST_000462,2023-01-17,167809,Personal,Full-time,44994.87,1.167,790,Approved,0
APP_0000232,CUST_002161,2023-03-01,25388,Car Purchase,Full-time,24786.87,0.345,545,Declined,0
APP_0000233,CUST_022509,2022-05-16,67515,Business,Self-employed,75708.04,0.645,754,Approved,0
APP_0000234,CUST_024287,2023-03-23,266704,Home Purchase,Retired,92558.78,0.972,728,Declined,0
APP_0000235,CUST_009454,2024-06-04,86272,Car Purchase,Part-time,28997.39,1.064,666,Declined,0
APP_0000236,CUST_007796,2024-06-09,10635,Car Purchase,Part-time,9809.74,0.613,785,Declined,0
APP_0000237,CUST_017619,2022-09-29,29165,Personal,Part-time,17292.17,0.834,552,Declined,0
APP_0000238,CUST_007061,2024-07-11,105945,Education,Self-employed,54196.21,0.732,644,Declined,0
APP_0000239,CUST_012507,2022-01-18,43399,Car Purchase,Full-time,26204.63,0.522,727,Declined,0
APP_0000240,CUST_021558,2022-01-21,25468,Personal,Student,12232.23,0.685,776,Declined,0
APP_0000241,CUST_004592,2024-07-29,210043,Education,Full-time,56915.69,1.326,823,Declined,0
APP_0000242,CUST_014519,2024-12-26,15195,Car Purchase,Full-time,28890.01,0.445,606,Declined,0
APP_0000243,CUST_004680,2024-10-14,32013,Home Purchase,Full-time,59398.7,0.573,850,Approved,0
APP_0000244,CUST_009115,2023-10-11,203134,Personal,Retired,104217.87,0.748,669,Declined,0
APP_0000245,CUST_011031,2023-09-05,141837,Home Improvement,Full-time,72520.91,0.785,648,Declined,0
APP_0000246,CUST_012771,2022-09-22,227585,Personal,Full-time,106026.67,0.939,836,Approved,0
APP_0000247,CUST_022429,2024-12-13,26638,Home Improvement,Student,8983.75,1.028,754,Declined,0
APP_0000248,CUST_005357,2023-11-20,52552,Debt Consolidation,Part-time,42258.91,0.714,713,Approved,0
APP_0000249,CUST_007077,2022-03-03,227061,Personal,Retired,92331.87,0.596,850,Approved,0
APP_0000250,CUST_022059,2022-07-28,54923,Car Purchase,Part-time,24802.71,0.594,774,Approved,0
APP_0000251,CUST_024083,2023-09-29,75233,Education,Full-time,40705.62,0.563,669,Approved,0
APP_0000252,CUST_004495,2023-09-12,11348,Car Purchase,Full-time,16342.33,0.364,576,Approved,0
APP_0000253,CUST_013454,2022-01-01,201698,Home Purchase,Retired,111971.75,0.603,850,Declined,0
APP_0000254,CUST_004050,2023-02-12,159982,Personal,Part-time,41206.93,1.03,814,Declined,0
APP_0000255,CUST_002367,2023-06-17,81454,Car Purchase,Full-time,29770.98,0.86,668,Declined,0
APP_0000256,CUST_018778,2022-03-23,56444,Education,Full-time,30311.55,0.779,675,Declined,0
APP_0000257,CUST_018860,2024-06-21,177353,Home Improvement,Full-time,50346.45,1.238,794,Approved,0
APP_0000258,CUST_024473,2023-07-16,6759,Car Purchase,Part-time,13393.1,0.473,848,Declined,0
APP_0000259,CUST_001400,2023-10-31,8614,Car Purchase,Part-time,9600.0,0.301,573,Declined,0
APP_0000260,CUST_024860,2022-10-29,38756,Debt Consolidation,Full-time,34773.2,0.435,731,Approved,0
APP_0000261,CUST_018170,2022-10-15,162622,Personal,Full-time,49881.72,0.918,760,Declined,0
APP_0000262,CUST_020174,2022-04-14,28272,Debt Consolidation,Full-time,48204.14,0.699,666,Approved,0
APP_0000263,CUST_006074,2024-01-12,16541,Debt Consolidation,Full-time,16000.0,0.558,675,Approved,0
APP_0000264,CUST_008911,2023-03-19,205641,Personal,Full-time,61587.93,0.964,779,Declined,0
APP_0000265,CUST_007249,2024-10-02,9802,Personal,Part-time,17385.24,0.378,605,Approved,0
APP_0000266,CUST_015817,2022-03-03,88185,Education,Full-time,48212.87,0.946,819,Declined,0
APP_0000267,CUST_024039,2022-01-30,223706,Education,Full-time,70913.67,1.21,834,Approved,0
APP_0000268,CUST_014498,2022-12-26,11203,Debt Consolidation,Part-time,19773.58,0.535,689,Declined,0
APP_0000269,CUST_013553,2024-08-12,115775,Debt Consolidation,Full-time,73228.74,0.727,706,Declined,0
APP_0000270,CUST_019936,2022-04-27,72905,Car Purchase,Self-employed,27403.66,0.994,704,Declined,0
APP_0000271,CUST_016589,2022-03-19,24110,Home Improvement,Student,9250.63,0.976,802,Declined,0
